date,dim,plan,pid,title,sku,img,imp,vexp,clk,cost,ctr,cpc,favP,favS,cart,coupon,ord,inq,lead,gmv,roi,leadCost,inqCost,leadCvr,inqCvr
2026-08-01,商品,大客方案,1024421098731,童贝童装2026夏季新款儿童牛仔阔腿裤波浪花边裤纯色百搭休闲长裤,XX6NZ174,images/1024421098731.jpg,156.0,79.0,2.0,0.75,0.0128,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-01,商品,大客方案,1028636271064,童贝童装2026夏季新款女童衬衫蕾丝娃娃领甜美田园气质镀短袖小衫,XX6CS226,images/1028636271064.jpg,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-01,商品,大客方案,1028680519541,童贝童装2026夏季新款女童衬衫刺绣花边泡泡袖甜美森系温柔上衣,XX6CS222,images/1028680519541.jpg,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-01,商品,大客方案,1028932954296,童贝童装2026夏季新款儿童T恤趣味动物印花宽松落肩短袖上衣,XX6TX201,images/1028932954296.jpg,1980.0,866.0,44.0,36.53,0.0222,0.8302,0.0,1.0,25.0,1.0,2.0,1.0,30.0,102.8,2.8141,1.22,36.53,0.6818,0.0227
2026-08-01,商品,大客方案,1029252410984,童贝童装2026夏季新款儿童休闲裤条纹波点纯色宽松休闲日常灯笼裤,XX6SK338,images/1029252410984.jpg,141.0,78.0,3.0,1.82,0.0213,0.6067,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.82,0.0,0.3333,0.0
2026-08-01,商品,大客方案,1029293118318,童贝童装2026夏季新款儿童T恤趣味水果印花软萌可爱休闲短袖上衣,XX6TX209,images/1029293118318.jpg,66.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-01,商品,大客方案,1030177677970,童贝童装2026夏季新款儿童短裤元气复古撞色百搭洋气休闲裤,XX6SK336,images/1030177677970.jpg,725.0,324.0,8.0,8.25,0.011,1.0313,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,2.75,0.0,0.375,0.0
2026-08-01,商品,大客方案,1030241713953,童贝童装2026夏季新款儿童T恤卡通甜美可爱休闲日常短袖上衣,XX6TX205,images/1030241713953.jpg,117.0,66.0,1.0,0.0,0.0085,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0
2026-08-01,商品,大客方案,1033076275635,童贝童装2026夏季新款儿童防蚊裤男女童波点印花宽松彩条休闲长裤,XX6FW302,images/1033076275635.jpg,365.0,166.0,3.0,2.69,0.0082,0.8967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-01,商品,大客方案,1033838718988,童贝童装2026夏季新款儿童T恤趣味动物印花软萌可爱日常款式短袖,XX6TX198,images/1033838718988.jpg,666.0,306.0,18.0,20.25,0.027,1.125,0.0,0.0,12.0,0.0,0.0,0.0,12.0,0.0,0.0,1.69,0.0,0.6667,0.0
2026-08-01,商品,大客方案,1034752362209,童贝童装2026夏季新款儿童防蚊裤纯色休闲时尚男女童日常百搭长裤,3XFW217,images/1034752362209.jpg,355.0,140.0,6.0,4.74,0.0169,0.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-01,商品,大客方案,1035591688253,【天丝+亚麻】童贝童装2026夏季新款儿童防蚊裤男女童宽松休闲裤,XX6FW303,images/1035591688253.jpg,75.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-01,商品,大客方案,1035610648812,童贝童装2026夏季新款儿童裤套装撞色字母印花趣味可爱日常两件套,XX6KT350,images/1035610648812.jpg,75.0,40.0,1.0,0.32,0.0133,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-01,商品,大客方案,1035986555152,童贝童装2026夏季新款儿童套装潮流时尚撞色印花短袖短裤两件套,XX6KT350,images/1035986555152.jpg,964.0,436.0,20.0,12.78,0.0207,0.639,0.0,0.0,13.0,2.0,0.0,1.0,16.0,0.0,0.0,0.8,12.78,0.8,0.05
