日期,营销节奏,年份,月份,周,星期,月天数,天数,时间进度,销售进度,月度销售额目标,月度到账额目标,预估日占比,预估日销售额,预估日访客,预估日转化,预估日客单,推广预算,实际销售额,销售额完成率,实际销售额当月,实际日占比,实际访客数,访客完成率,实际转化率,转化完成率,实际客单价,客单价完成率,实际推广费,推广预算匹配率
2026/08/01,,2026,8,31,周六,31,9,29%,24%,460000,350000,0.02,9200,2000,0.03,165,250,3235,35%,89921,3.60%,1577,79%,1.08%,36%,101,61%,313,125%
2026/08/02,,2026,8,31,周日,31,9,29%,24%,460000,350000,0.018,8280,1800,0.028,165,250,43707,528%,89921,48.61%,1484,82%,1.55%,55%,767,465%,220,88%
2026/08/03,,2026,8,32,周一,31,9,29%,24%,460000,350000,0.025,11500,2300,0.03,165,450,2447,21%,89921,2.72%,1623,71%,1.36%,45%,79,48%,457,102%
2026/08/04,找工厂周二上新,2026,8,32,周二,31,9,29%,24%,460000,350000,0.045,20700,2600,0.045,165,450,14935,72%,89921,16.61%,1745,67%,3.95%,88%,164,99%,448,100%
2026/08/05,周三会员日,2026,8,32,周三,31,9,29%,24%,460000,350000,0.04,18400,2400,0.04,165,450,9967,54%,89921,11.08%,1812,76%,3.15%,79%,142,86%,420,93%
2026/08/06,,2026,8,32,周四,31,9,29%,24%,460000,350000,0.03,13800,2200,0.035,165,450,4279,31%,89921,4.76%,1755,80%,1.60%,46%,102,62%,418,93%
2026/08/07,,2026,8,32,周五,31,9,29%,24%,460000,350000,0.025,11500,2100,0.03,165,450,3739,33%,89921,4.16%,1700,81%,0.88%,29%,150,91%,407,90%
2026/08/08,,2026,8,32,周六,31,9,29%,24%,460000,350000,0.022,10120,2000,0.03,165,250,2585,26%,89921,2.88%,1583,79%,1.07%,36%,103,63%,363,145%
2026/08/09,,2026,8,32,周日,31,9,29%,24%,460000,350000,0.02,9200,1800,0.025,165,250,5026,55%,89921,5.59%,1495,83%,1.81%,72%,129,78%,267,107%
2026/08/10,,2026,8,33,周一,31,9,29%,24%,460000,350000,0.025,11500,2300,0.025,165,600,,0%,89921,0.00%,,0%,,0%,,0%,0,0%
2026/08/11,开学季,2026,8,33,周二,31,9,29%,24%,460000,350000,0.06,27600,3000,0.055,165,600,,0%,89921,0.00%,,0%,,0%,,0%,0,0%
2026/08/12,开学季,2026,8,33,周三,31,9,29%,24%,460000,350000,0.045,20700,2600,0.045,165,600,,0%,89921,0.00%,,0%,,0%,,0%,0,0%
2026/08/13,开学季,2026,8,33,周四,31,9,29%,24%,460000,350000,0.035,16100,2400,0.04,165,600,,0%,89921,0.00%,,0%,,0%,,0%,0,0%
2026/08/14,,2026,8,33,周五,31,9,29%,24%,460000,350000,0.03,13800,2200,0.03,165,600,,0%,89921,0.00%,,0%,,0%,,0%,0,0%
2026/08/15,,2026,8,33,周六,31,9,29%,24%,460000,350000,0.025,11500,2100,0.03,165,400,,0%,89921,0.00%,,0%,,0%,,0%,0,0%
2026/08/16,,2026,8,33,周日,31,9,29%,24%,460000,350000,0.02,9200,2000,0.025,165,400,,0%,89921,0.00%,,0%,,0%,,0%,0,0%
2026/08/17,严选采购日,2026,8,34,周一,31,9,29%,24%,460000,350000,0.025,11500,2400,0.03,165,600,,0%,89921,0.00%,,0%,,0%,,0%,0,0%
2026/08/18,找工厂周二上新,2026,8,34,周二,31,9,29%,24%,460000,350000,0.05,23000,2800,0.045,165,600,,0%,89921,0.00%,,0%,,0%,,0%,0,0%
2026/08/19,,2026,8,34,周三,31,9,29%,24%,460000,350000,0.04,18400,2600,0.035,165,600,,0%,89921,0.00%,,0%,,0%,,0%,0,0%
2026/08/20,,2026,8,34,周四,31,9,29%,24%,460000,350000,0.035,16100,2500,0.03,165,600,,0%,89921,0.00%,,0%,,0%,,0%,0,0%
2026/08/21,,2026,8,34,周五,31,9,29%,24%,460000,350000,0.03,13800,2400,0.03,165,600,,0%,89921,0.00%,,0%,,0%,,0%,0,0%
2026/08/22,,2026,8,34,周六,31,9,29%,24%,460000,350000,0.025,11500,2300,0.028,165,400,,0%,89921,0.00%,,0%,,0%,,0%,0,0%
2026/08/23,,2026,8,34,周日,31,9,29%,24%,460000,350000,0.02,9200,2200,0.025,165,400,,0%,89921,0.00%,,0%,,0%,,0%,0,0%
2026/08/24,,2026,8,35,周一,31,9,29%,24%,460000,350000,0.035,16100,2800,0.035,165,600,,0%,89921,0.00%,,0%,,0%,,0%,0,0%
2026/08/25,,2026,8,35,周二,31,9,29%,24%,460000,350000,0.04,18400,3000,0.038,165,600,,0%,89921,0.00%,,0%,,0%,,0%,0,0%
2026/08/26,,2026,8,35,周三,31,9,29%,24%,460000,350000,0.04,18400,3000,0.035,165,600,,0%,89921,0.00%,,0%,,0%,,0%,0,0%
2026/08/27,,2026,8,35,周四,31,9,29%,24%,460000,350000,0.04,18400,2800,0.035,165,600,,0%,89921,0.00%,,0%,,0%,,0%,0,0%
2026/08/28,,2026,8,35,周五,31,9,29%,24%,460000,350000,0.035,16100,2600,0.035,165,600,,0%,89921,0.00%,,0%,,0%,,0%,0,0%
2026/08/29,,2026,8,35,周六,31,9,29%,24%,460000,350000,0.03,13800,2500,0.03,165,400,,0%,89921,0.00%,,0%,,0%,,0%,0,0%
2026/08/30,,2026,8,35,周日,31,9,29%,24%,460000,350000,0.03,13800,2300,0.03,165,400,,0%,89921,0.00%,,0%,,0%,,0%,0,0%
2026/08/31,,2026,8,36,周一,31,9,29%,24%,460000,350000,0.04,18400,3000,0.035,165,600,,0%,89921,0.00%,,0%,,0%,,0%,0,0%
